el	article	masculine singular definite article; the		
poesía	noun	poetry	Me gusta leer poesía cada noche.	I like to read poetry every night.
hundir	verb	to sink, engulf	La crisis podría hundir a la empresa.	The crisis could sink the company.
desnudo	adj	naked, nude, undressed	Entraron desnudos porque olvidaron las toallas.	They entered naked because they forgot the towels.
desarrollar	verb	to develop	Estamos desarrollando un plan de estudio.	We are developing a study plan.
criticar	verb	to criticize	No critiques todo; ofrece soluciones también.	Don't criticize everything; offer solutions too.
seguramente	adv	surely, certainly	Seguramente encontrarán una solución pronto.	They will surely find a solution soon.
investigar	verb	to investigate, to research	Estoy investigando cómo funciona este motor.	I am investigating how this engine works.
escena	noun	scene	Recuerdo una escena graciosa de ayer.	I remember a funny scene from yesterday.
temblar	verb	to tremble, to quiver, to quake, to shudder, to cringe, to quail	Mis manos tiemblan cuando tengo frío.	My hands tremble when I'm cold.
capitán	noun	captain (leader)	Los capitanes deben dar ejemplo siempre.	Captains must always set an example.
hueso	noun	bone	Me rompí un hueso del brazo jugando.	I broke a bone in my arm while playing.
marrón	adj	brown (colour)	La mesa es de color marrón.	The table is brown.
marrón	noun	brown (colour)	El marrón es un color cálido.	Brown is a warm color.
término	noun	end, terminus (the terminal point of something in space or time)	Puso término a la discusión con una disculpa.	They put an end to the discussion with an apology.
presencia	noun	presence	Notamos su presencia en la reunión.	We noticed their presence at the meeting.
colección	noun	collection	Su colección de libros creció rápidamente.	Their book collection grew rapidly.
cruel	adj	mean	No seas cruel con tus amigos.	Don't be cruel to your friends.
atractivo	adj	attractive, appealing	Ese vestido rojo se ve muy atractivo.	That red dress looks very attractive.
atractivo	noun	appeal, attractiveness, attraction	El atractivo de la ciudad crece cada verano.	The city's appeal grows every summer.
televisor	noun	television set, TV set, television receiver, television, (colloquial) telly (a device for receiving television signals and displaying them in visual form)	Ayer compramos un televisor nuevo para la sala.	Yesterday we bought a new television for the living room.
ácido	adj	sharp, tart	La naranja estaba poco ácida, casi dulce.	The orange was only slightly acidic, almost sweet.
ácido	noun	acid	El profesor explicó qué es un ácido.	The professor explained what an acid is.
vano	adj	vain (pointless, futile)	Tus disculpas fueron vanas esta vez.	Your apologies were in vain this time.
vano	noun	span (of a bridge, door)	El puente tiene un vano principal muy largo.	The bridge has a very long main span.
clásico	adj	classic	Prefiero la música clásica para concentrarme.	I prefer classical music to concentrate.
clásico	noun	derby (specifically in association football and one between two teams who are not from the same city or region)	Mañana veremos un clásico histórico entre equipos que no son de la misma ciudad.	Tomorrow we will see a historic classic between teams that are not from the same city.
bote	noun	boat, dinghy	Nos subimos al bote para cruzar el río.	We got into the boat to cross the river.
punta	noun	tip, point, end	No acerques la punta del cuchillo.	Don't bring the tip of the knife closer.
adelantar	verb	to bring forward, advance, to move forward (in space or time)	Mañana adelantaremos el reloj una hora.	Tomorrow we will set the clock forward one hour.
teclado	noun	keyboard (of a typewriter, piano, computer, etc.)	El teclado de mi computadora está sucio.	My computer keyboard is dirty.
explotar	verb	to exploit	Buscan explotar el mercado internacional.	They seek to exploit the international market.
impulso	xxx	xxx	xxx	xxx
asesino	adj	murderous, homicidal (intending, or likely to commit murder)	Mostraba impulsos asesinos durante las discusiones familiares.	They were showing murderous impulses during family arguments.
asesino	noun	murderer, killer (person who commits murder)	El asesino confesó su terrible crimen.	The killer confessed their terrible crime.
sabiduría	noun	wisdom	Ella buscó sabiduría en los libros.	She sought wisdom in books.
canto	noun	singing	Tomé clases de canto para mejorar.	I took singing lessons to improve.
ministro	noun	minister	El ministro respondió a preguntas de periodistas.	The minister answered reporters' questions.
afirmar	verb	to state, assert	Ella siempre afirma la verdad con calma.	She always states the truth calmly.
seguido	adv	often	Me llama seguido para pedir consejo.	He often calls me to ask for advice.
seguido	adj	consecutive	Ganamos tres partidos seguidos este mes.	We won three games in a row this month.
aun	adv	even (implying an extreme example in the case mentioned)	Aun los expertos cometen errores.	Even experts make mistakes.
parecido	adj	similar	Tenemos acentos parecidos cuando hablamos rápido.	We have similar accents when we speak fast.
parecido	noun	resemblance	Observamos varios parecidos en sus costumbres.	We observed several similarities in their customs.
sobrino	noun	nephew	Mi sobrino tiene ocho años y estudia.	My nephew is eight years old and he studies.
gemelo	adj	twin	Mi hermano gemelo vive conmigo.	My twin brother lives with me.
gemelo	noun	twin, especially an identical twin	Mi gemelo vive en Madrid.	My twin lives in Madrid.
directamente	adv	directly, firsthand	Habla directamente con el profesor.	He speaks directly with the professor.
sello	noun	seal, sigil	El contrato llevaba el sello de la universidad.	The contract bore the university's seal.
rubio	adj	blond	Ella tiene el pelo rubio natural.	She has natural blonde hair.
rubio	noun	a blond (or blonde) person	El rubio llegó tarde a clase.	The blond man arrived late to class.
crédito	noun	credit	Perdió créditos por entregar tarde.	He lost credits for submitting late.
máximo	adj	maximum	Hoy la temperatura máxima alcanzará los treinta grados.	Today the maximum temperature will reach thirty degrees.
máximo	noun	maximum	El máximo de la función es tres.	The maximum of the function is three.
desconocido	adj	unknown, undisclosed, unbeknownst	Las consecuencias desconocidas del cambio preocupan.	The unknown consequences of the change are worrying.
desconocido	noun	unknown	Un desconocido llamó a mi puerta.	A stranger knocked on my door.
roca	noun	rock	La roca es dura y pesada.	The rock is hard and heavy.
sensación	noun	sensation	Busco la sensación de paz interior.	I seek the feeling of inner peace.
curiosidad	noun	curiosity	Por curiosidad, hice muchas preguntas.	Out of curiosity, I asked many questions.
etiqueta	noun	label, tag	Pegué una etiqueta con mi nombre en la caja.	I stuck a label with my name on the box.
arrancar	verb	to pull out	Ella arrancaba las etiquetas de la ropa nueva.	She used to tear the tags off new clothes.
bebido	adj	drunk	Llegó bastante bebido a la fiesta.	He arrived quite drunk to the party.
bebido	noun	obsolete form of bebida	Prefiero este bebido antes de dormir.	I prefer this drink before bed.
patio	noun	yard, patio	Tomamos café y conversamos en el patio.	We had coffee and talked on the patio.
tragar	verb	to swallow (to cause to pass from the mouth into the stomach)	Me cuesta tragar cuando estoy resfriado.	It's hard for me to swallow when I have a cold.
informar	verb	to inform	El director informó a todos hoy.	The director informed everyone today.
representar	verb	to represent	Estábamos representando escenas históricas para el público.	We were reenacting historical scenes for the public.
vago	adj	vague	Su explicación fue demasiado vaga.	Their explanation was too vague.
vago	noun	wanderer	El vago pedía direcciones hacia la próxima estación.	The bum was asking for directions to the next station.
barba	noun	beard	Mi abuelo tiene una barba muy larga.	My grandfather has a very long beard.
prender	verb	to catch, to arrest	Ayer prendieron a los sospechosos.	Yesterday they arrested the suspects.
sueldo	noun	salary	Mi sueldo no alcanza para todo.	My salary isn't enough for everything.
mancha	noun	spot; stain; blemish	Las manchas de vino son difíciles de quitar.	Wine stains are hard to remove.
automóvil	noun	automobile	Ella aprendió a conducir un automóvil.	She learned to drive a car.
autoridad	noun	authority (persons in command)	Las autoridades locales investigan el caso.	The local authorities are investigating the case.
alquilar	verb	to rent	Mañana alquilaremos un coche pequeño.	Tomorrow we will rent a small car.
ilegal	adj	illegal, unlawful	Construir sin permisos adecuados es ilegal.	Building without proper permits is illegal.
cable	noun	cable, cord	Compré un cable más largo.	I bought a longer cable.
literatura	noun	literature	Estudio literatura española en la universidad.	I study Spanish literature at the university.
apoyo	noun	support	Necesitamos más apoyo financiero hoy.	We need more financial support today.
humo	noun	smoke	El humo salía de la chimenea.	The smoke was coming out of the chimney.
baja	noun	casualty, loss	En el accidente hubo varias bajas.	There were several casualties in the accident.
auténtico	adj	authentic, real, true (conforming to reality and therefore worthy of trust)	Ella siempre muestra una sonrisa auténtica.	She always shows a genuine smile.
tesoro	noun	treasure, trove, treasure trove	Protegieron el tesoro con trampas y guardias.	They protected the treasure with traps and guards.
alejar	verb	to remove to a distance, put farther away, to lead away, to draw away	Debes alejar ese mueble pesado.	You must move that heavy piece of furniture away.
ambiente	noun	atmosphere	El concierto creó un ambiente emocionante.	The concert created an exciting atmosphere.
alegre	adj	joyful, cheerful	Me siento alegre cuando escucho música.	I feel happy when I listen to music.
vetar	verb	to veto	Si aprueban eso, lo vetaremos.	If they approve that, we will veto it.
europeo	adj	European	Estudiamos la historia europea en clase hoy.	We studied European history in class today.
europeo	noun	European	Conocí a varios europeos en el museo.	I met several Europeans at the museum.
tortuga	noun	turtle	Las tortugas pueden vivir muchos años.	Turtles can live many years.
empeorar	verb	to worsen, to make worse, to exacerbate	El tráfico empeoró por el accidente.	The traffic got worse because of the accident.
generación	noun	generation	La generación digital creció con internet.	The digital generation grew up with the internet.
calcetín	noun	sock	Perdí uno de mis calcetines favoritos.	I lost one of my favorite socks.
comercial	adj	commercial	En la zona comercial abren muy temprano.	In the shopping district they open very early.
comercial	noun	commercial, advert	Vimos un comercial de televisión divertido anoche.	We saw a funny TV commercial last night.
cobrar	verb	to charge (money, etc.)	¿Cuánto piensas cobrar por tu trabajo?	How much do you plan to charge for your work?
locura	noun	madness, craziness	Esa decisión fue una locura total.	That decision was total madness.
aplicar	verb	to use, to apply	Ayer apliqué pintura nueva en la pared.	Yesterday I applied new paint to the wall.
incorrecto	adj	wrong, incorrect	Tu respuesta es incorrecta en matemáticas.	Your answer is incorrect in math.
tecnología	noun	technology	La tecnología médica salva muchas vidas.	Medical technology saves many lives.
disponer	verb	to prepare, arrange	Dispongo la mesa antes de cenar.	I set the table before dinner.
apellido	noun	surname, last name	Su apellido está mal escrito.	Their last name is misspelled.
uniforme	adj	uniform, even	Los resultados fueron uniformes entre los grupos.	The results were uniform across the groups.
uniforme	noun	uniform, dress uniform	Perdí mi uniforme y necesito otro.	I lost my uniform and I need another.
pradera	xxx	xxx	xxx	xxx
zorro	noun	fox (carnivore)	El zorro rojo vive en bosques y praderas.	The red fox lives in forests and prairies.
zorro	adj	clever, crafty, sly	Mi jefe es zorro en cada reunión difícil.	My boss is cunning in every difficult meeting.
coleccionar	verb	to collect (to accumulate a number of similar or related objects, particularly for a hobby or recreation)	Mi hermana colecciona sellos de países.	My sister collects stamps from countries.
gota	noun	a drop or small amount of	No quedaba ni una gota de agua.	There wasn't a single drop of water left.
confirmar	verb	to confirm	¿Puedes confirmar si llega hoy?	Can you confirm whether it arrives today?
recientemente	adv	recently	He estado muy ocupado recientemente.	I have been very busy recently.
cigarrillo	noun	cigarette	En este restaurante no se permiten cigarrillos.	Cigarettes are not allowed in this restaurant.
mezclar	verb	to mix	No mezcles estas cuentas; están ordenadas por fecha.	Don't mix these bills; they are sorted by date.
infierno	noun	hell	Este tráfico es un infierno diario.	This traffic is a daily hell.
lamentar	verb	to lament, to regret	Siempre lamentamos las oportunidades perdidas.	We always regret missed opportunities.
generalmente	adv	generally, normally	Generalmente estudio por las tardes.	I generally study in the afternoons.
estupidez	noun	stupidity (the property of being stupid)	Esa estupidez nos costó mucho dinero.	That stupidity cost us a lot of money.
mayo	noun	May	Mi cumpleaños es en mayo.	My birthday is in May.
esencial	adj	essential	Es esencial dormir bien cada noche.	It is essential to sleep well every night.
hierro	noun	iron (chemical element)	El hierro es un metal esencial para la sangre.	Iron is an essential metal for blood.
cero	num	zero	Tenemos cero manzanas en casa.	We have zero apples at home.
cero	noun	zero	Cero es menor que uno.	Zero is less than one.
evento	noun	event	El evento comenzó a tiempo ayer.	The event started on time yesterday.
altavoz	xxx	xxx	xxx	xxx
portátil	adj	portable	Llevo un altavoz portátil a la playa.	I take a portable speaker to the beach.
portátil	noun	notebook, laptop (computer)	Compré un portátil usado para la universidad.	I bought a used laptop for university.
batería	noun	large and rechargeable battery	Compré una batería nueva para el portátil de la oficina.	I bought a new battery for the office laptop.
atado	xxx	xxx	xxx	xxx
cadena	noun	chain (series of interconnected rings or links usually made of metal)	El perro estaba atado con una cadena de metal.	The dog was tied with a metal chain.
corregir	verb	to correct	¿Puedes corregir este texto conmigo?	Can you correct this text with me?
incómodo	adj	uncomfortable	Me siento incómodo hablando de dinero.	I feel uncomfortable talking about money.
pila	noun	small battery	Necesito una pila nueva para el reloj.	I need a new battery for the watch.
democracia	noun	democracy (rule by the people)	La democracia requiere elecciones libres y justas.	Democracy requires free and fair elections.
componer	verb	to compose (write music)	Cada verano compongo canciones para niños.	Every summer I compose songs for children.
comprobar	verb	to check, to check on, to check out, to see, to check to see (examine)	Quiero comprobar si hay errores.	I want to check if there are any mistakes.
cocinero	noun	cook	El cocinero prepara la cena cada noche.	The cook prepares dinner every night.
gobernar	verb	to govern	Ellos gobernarán mejor si escuchan.	They will govern better if they listen.
ingenuo	adj	naive, ingenuous, candid, innocent	Parecen ingenuas, pero son listas.	They seem naive, but they are smart.
ingenuo	noun	naif	El ingenuo creyó todas las promesas.	The naive one believed all the promises.
inclinar	verb	to tilt	Si inclinas el libro, verás mejor.	If you tilt the book, you'll see better.
junio	noun	June	Mi cumpleaños es en junio.	My birthday is in June.
defecto	noun	defect, fault, deficiency	Todos tenemos defectos que podemos mejorar.	We all have flaws that we can improve.
verbo	noun	verb	El verbo principal indica la acción.	The main verb indicates the action.
gatito	noun	kitten (young cat)	Los gatitos juegan con una pelota.	The kittens play with a ball.
suspender	verb	to suspend	Decidieron suspender la reunión por la lluvia.	They decided to cancel the meeting because of the rain.
pedazo	noun	piece, chunk, hunk, bit, bite (a part of a larger whole)	Ella mordió un pedazo de manzana.	She bit a piece of apple.
bota	noun	boot	Lleva botas altas en invierno.	She wears tall boots in winter.
agradecido	adj	grateful, thankful, appreciative, obliged, indebted	Estoy muy agradecido por tu ayuda.	I am very grateful for your help.
marcha	noun	march	La marcha por la paz reunió a miles de personas.	The march for peace brought together thousands of people.
milagro	noun	miracle	Celebramos los pequeños milagros de cada día.	We celebrate the small miracles of each day.
instrumento	noun	instrument	Necesito un instrumento adecuado para medir la temperatura.	I need a suitable instrument to measure the temperature.
salón	noun	living room; sitting room; parlor; drawing room	Vamos al salón a ver la televisión.	Let's go to the living room to watch television.
presión	noun	pressure	Hoy he sentido mucha presión en el trabajo.	Today I have felt a lot of pressure at work.
ciertamente	adv	certainly	Ciertamente tienes razón en eso.	You are certainly right about that.
sordo	adj	deaf	El maestro aprendió frases útiles para los alumnos sordos.	The teacher learned useful phrases for deaf students.
sordo	noun	deaf person	Invitamos al sordo a compartir su experiencia.	We invited the deaf person to share their experience.
partida	noun	departure	Confirmaron la hora de partida del vuelo.	They confirmed the departure time of the flight.
egipcio	adj	Egyptian	El arte egipcio fascina a mucha gente.	Egyptian art fascinates many people.
egipcio	noun	Egyptian (language)	Estudiamos el egipcio clásico en la universidad.	We study Classical Egyptian at the university.
apariencia	noun	appearance (personal presence)	Las apariencias pueden engañar a cualquiera.	Appearances can deceive anyone.
dividir	verb	to divide	Ella divide la cuenta entre todos.	She splits the bill among everyone.
virtud	noun	virtue	Su mayor virtud es escuchar con atención.	Their greatest virtue is listening attentively.
mascota	noun	pet	Mi mascota duerme en su cama.	My pet sleeps in its bed.
coincidir	verb	to coincide	Coincido contigo en ese punto.	I agree with you on that point.
producción	noun	production	Mejoramos la producción con nuevas máquinas.	We improved production with new machines.
código	noun	code	Necesito el código de acceso correcto.	I need the correct access code.
cortina	noun	curtain	Cerré la cortina para dormir mejor.	I closed the curtain to sleep better.
práctica	noun	practice	La práctica diaria mejora tus habilidades.	Daily practice improves your skills.
rata	adj	stingy, miserly, tight-fisted	Eres muy rata con el dinero.	You're very stingy with money.
eterno	adj	eternal	Sus amistades eternas nos inspiran mucho.	Their lifelong friendships inspire us a lot.
infinito	adj	infinite	Tienes infinitas opciones para resolver este problema.	You have infinite options to solve this problem.
infinito	noun	infinity	El infinito me fascina desde niño.	Infinity has fascinated me since I was a child.
ingreso	noun	entrance, ingress	Necesitas un permiso de ingreso para la biblioteca.	You need an entry permit for the library.
masa	noun	dough	La masa madre alimenta nuestro pan.	Sourdough starter leavens our bread.
mejilla	noun	cheek	Sus mejillas se pusieron rojas de vergüenza.	Their cheeks turned red with embarrassment.
gramática	noun	grammar (rules for speaking and writing a language)	La gramática del español tiene reglas claras.	Spanish grammar has clear rules.
camiseta	noun	T-shirt	Sus camisetas favoritas están limpias ahora.	Their favorite T-shirts are clean now.
bromear	verb	to joke, to kid (to do or say something for amusement)	Estaban bromeando mientras esperaban el autobús.	They were joking while they waited for the bus.
sugerir	verb	to suggest	¿Podrías sugerir otra opción mejor?	Could you suggest another, better option?
capturar	verb	to catch, trap, capture	Me capturaron cuando intentaba escapar.	They captured me when I was trying to escape.
mosquito	noun	gnat	Los mosquitos salen más al atardecer.	Mosquitoes come out more at dusk.
símbolo	noun	symbol	Aprendimos los símbolos matemáticos en clase.	We learned the mathematical symbols in class.
habitante	adj	inhabiting; said of something that inhabits	Las aves habitantes del bosque cantan.	The forest-dwelling birds sing.
habitante	noun	inhabitant	Ningún habitante conocía la noticia.	No resident knew about the news.
militar	adj	military	Ella compró un uniforme militar.	She bought a military uniform.
militar	noun	soldier	El militar saludó a sus superiores.	The service member saluted his superiors.
militar	verb	to participate actively in a political organization, especially in the military	Milité cinco años en el Ejército Nacional.	I served five years in the National Army.
típico	adj	typical (characteristically representing something by form, group, idea or type)	Probamos dulces típicos en el mercado local.	We tried traditional sweets at the local market.
típico	noun	a dance and music style from Panama	Aprendí a bailar el típico cuando era niño.	I learned to dance the típico when I was a child.
ideal	adj	ideal	Encontramos el regalo ideal para mamá.	We found the ideal gift for Mom.
ideal	noun	ideal	Busco un ideal a seguir.	I'm looking for an ideal to follow.
ah	intj	ah (expression of relief, realization, awe)	Ah, ya entiendo lo que decías.	Ah, now I understand what you were saying.
cobarde	adj	cowardly, craven, gutless, spineless, dastardly	Preferimos respuestas valientes, no cobardes.	We prefer brave answers, not cowardly ones.
cobarde	noun	coward, chicken, wimp, poltroon	Un cobarde siempre inventa excusas.	A coward always makes up excuses.
encuentro	noun	encounter, meeting	El encuentro de hoy terminó antes del almuerzo.	Today's meeting ended before lunch.
colega	noun	colleague	Compartí el almuerzo con dos colegas simpáticos.	I shared lunch with two nice colleagues.
norma	noun	rule, norm, standard, touchstone	Debes respetar las normas de seguridad.	You must follow the safety regulations.
paloma	noun	dove, pigeon	Observamos una paloma bebiendo agua en la fuente.	We observed a pigeon drinking water at the fountain.
paloma	adj	difficult, complicated	Esas preguntas abiertas son bastante palomas y requieren paciencia.	Those open-ended questions are quite naive and require patience.
obvio	adj	obvious	Es obvio que necesitas descansar.	It's obvious that you need to rest.
arrepentirse	verb	to regret	Nos arrepentimos de no haberte llamado.	We regret not calling you.
versión	noun	version	Necesito una versión en español.	I need a version in Spanish.
desarrollo	noun	development	Planeamos el desarrollo de la comunidad.	We planned the community's development.
grano	noun	grain (a single similar particle of various substances)	Colocó un grano de sal sobre la mesa.	He placed a grain of salt on the table.
ausente	adj	absent	Estaba tan ausente que no respondió.	He was so absent-minded that he didn't respond.
carga	noun	load	El puente soporta una carga máxima.	The bridge supports a maximum load.
demonio	noun	demon, devil	Los demonios asustaron a los niños.	The demons scared the children.
aventura	noun	adventure	Compartieron muchas aventuras de la infancia.	They shared many childhood adventures.
guía	noun	guide	El guía local respondió a nuestras dudas.	The local guide answered our questions.
niebla	noun	fog (a thick cloud that forms near the ground)	Había tanta niebla que no veíamos nada.	There was so much fog that we couldn't see anything.
materia	noun	matter (the basic structural component of the universe)	La materia tiene masa y ocupa espacio.	Matter has mass and occupies space.
experimento	noun	experiment	En clase, hicimos un experimento sencillo.	In class, we did a simple experiment.
criminal	adj	criminal	El comportamiento criminal suele tener consecuencias.	Criminal behavior usually has consequences.
criminal	noun	criminal	Esos criminales actuaban en varios países.	Those criminals were operating in several countries.
ligero	adj	light, not heavy	Usa zapatos ligeros para caminar mucho.	Wear lightweight shoes for lots of walking.
estacionar	verb	to park (to bring a vehicle to a halt in a specified place)	Voy a estacionar el coche aquí.	I'm going to park the car here.
aburrir	verb	to bore; to tire	Las reuniones largas me aburren muchísimo.	Long meetings really bore me.
siesta	noun	siesta (a nap, especially an afternoon one taken during the hottest part of the day in some cultures)	En algunos países, toman la siesta diaria.	In some countries, they take a daily nap.
eh	intj	hey! (used to call, draw attention, warn or reprehend)	Eh, escucha, necesito hablar contigo.	Hey, listen, I need to talk to you.
establecer	verb	to establish	Debes establecer límites saludables con amigos.	You should set healthy boundaries with friends.
imaginación	noun	imagination	La ciencia también necesita imaginación para avanzar.	Science also needs imagination to advance.
inesperado	adj	unexpected	Encontraron soluciones inesperadas durante la crisis.	They found unexpected solutions during the crisis.
asustado	adj	scared	Estoy asustado porque escuché ruidos.	I am scared because I heard noises.
cosecha	noun	harvest, crop	Esa región perdió la cosecha por la sequía.	That region lost the harvest due to the drought.
billetera	noun	wallet	Perdí mi billetera en el supermercado.	I lost my wallet at the supermarket.
copa	noun	stemmed glass, glass, goblet or its content	Tomó una copa de vino.	He had a glass of wine.
ritmo	noun	rhythm	No puedo seguir tu ritmo.	I can't keep up with your pace.
aliento	noun	breath	Tomé aliento antes de hablar.	I took a breath before speaking.
conservar	verb	to conserve	Debemos conservar el agua en casa.	We must conserve water at home.
década	noun	decade	Durante la década pasada, mejoraron los servicios públicos.	During the past decade, public services improved.
correctamente	adv	correctly	Ella pronunció correctamente todas las palabras.	She pronounced all the words correctly.
martes	noun	Tuesday (the third day of the week in many religious traditions, and the second day of the week in systems that use the ISO 8601 norm; it follows Monday and precedes Wednesday)	El martes tenemos examen de matemáticas.	On Tuesday we have a math exam.
aumento	noun	increase	El aumento de los precios preocupa a muchas familias.	The rise in prices worries many families.
valioso	adj	valuable	Encontramos recursos valiosos durante la investigación.	We found valuable resources during the research.
fama	noun	fame	Buscó la fama, pero halló responsabilidades.	He sought fame, but found responsibilities.
rezar	verb	to pray, especially to repeat or recite (rather than sing) a memorized prayer such as the Lord's Prayer, the Hail Mary, etc.	Vamos a rezar por los enfermos.	We are going to pray for the sick.
pasatiempo	noun	pastime	Leer novelas es mi pasatiempo favorito.	Reading novels is my favorite hobby.
título	noun	title (honorary title)	Recibió un título de caballero por su servicio.	He received a knighthood for his service.
ola	noun	wave (on the surface of a liquid)	Nadamos detrás de una gran ola.	We swam behind a big wave.
testigo	noun	witness (someone who sees something)	El testigo vio todo claramente.	The witness saw everything clearly.
condenar	verb	to condemn	Condenamos la violencia en cualquier forma.	We condemn violence in any form.
invitación	noun	invitation	Enviaré la invitación por correo electrónico.	I will send the invitation by email.
amenazar	verb	to threaten	Nunca amenazaría a nadie por dinero.	I would never threaten anyone for money.
borde	noun	edge, border, brink, verge, rim, margin	El pastel tiene azúcar en los bordes.	The cake has sugar on the edges.
borde	adj	bastard (born out of wedlock)	En documentos antiguos se decía 'hijo borde'.	In old documents, 'hijo borde' used to be said.
deshacer	verb	to undo, to unmake	Siempre intento deshacer los nudos rápidamente.	I always try to undo the knots quickly.
enterrar	verb	to bury; to entomb	Ojalá enterremos los malos hábitos.	I hope we bury the bad habits.
poquito	adj	diminutive of poco, tiny, very small	Tengo poquito dinero este mes.	I have very little money this month.
poquito	adv	diminutive of poco (“very little, not much”)	Hablo poquito cuando estoy nervioso.	I speak very little when I'm nervous.
nacimiento	noun	birth, beginning, start	Desde su nacimiento, la empresa creció rápidamente.	From its inception, the company grew rapidly.
equipaje	noun	luggage	Perdí mi equipaje en el aeropuerto.	I lost my luggage at the airport.
líder	noun	leader (of a group of people, a sports team etc.)	Buscamos líderes honestos en nuestra comunidad.	We are looking for honest leaders in our community.
comunitario	xxx	xxx	xxx	xxx
regar	verb	to irrigate	¿A qué hora riegas el jardín comunitario?	What time do you water the community garden?
encantado	adj	enchanted, charmed	Estoy encantado con el resultado final.	I am delighted with the final result.
escalar	verb	to scale, to climb	Quiero escalar montañas con amigos.	I want to climb mountains with friends.
magnitud	xxx	xxx	xxx	xxx
escalar	adj	scalar	La magnitud escalar no tiene dirección.	Scalar magnitude has no direction.
propiedad	noun	propriety (fact of possessing something), proprietary	Dividieron la propiedad en partes iguales.	They divided the property into equal parts.
obligado	adj	obliged, obligated	No estoy obligado a responder ahora.	I am not obligated to answer now.
ochenta	num	eighty	Viajamos ochenta kilómetros en coche.	We traveled eighty kilometers by car.
compuesto	adj	compound, composite	El interés compuesto crece más rápido.	Compound interest grows faster.
pinta	noun	look, appearance	La herida tiene mala pinta.	The wound looks bad.
filosofía	noun	philosophy	La filosofía me enseña a pensar.	Philosophy teaches me to think.
príncipe	noun	prince	El joven príncipe aprendió historia con paciencia.	The young prince learned history with patience.
edición	xxx	xxx	xxx	xxx
príncipe	adj	first (edition of a publication)	La edición príncipe de ese poema es muy rara.	The first edition of that poem is very rare.
especie	xxx	xxx	xxx	xxx
sexo	noun	sex (the biological category)	Algunas especies de peces cambian de sexo según el ambiente.	Some species of fish change sex depending on the environment.
nuclear	adj	nuclear	La familia nuclear tiene dos hijos.	The nuclear family has two children.
nuclear	verb	to join up; to unite	Los vecinos se nuclearon para mejorar el barrio.	The neighbors banded together to improve the neighborhood.
postre	noun	dessert; sweet	Me encantan los postres de chocolate.	I love chocolate desserts.
numeroso	adj	numerous	Encontramos numerosas opciones para viajar.	We found numerous options for traveling.
charlar	verb	to chat, to chatter, to chitchat	¿Puedes charlar conmigo durante cinco minutos ahora?	Can you chat with me for five minutes now?
circunstancia	noun	circumstance	Bajo ninguna circunstancia debes mentir.	Under no circumstances should you lie.
flauta	noun	flute	Compré una flauta de madera barata.	I bought a cheap wooden flute.
central	adj	central	La plaza central siempre se llena.	The central square always fills up.
central	noun	headquarter	Llama a la central para informes.	Call the main office for information.
espectáculo	noun	show, performance (play, dance, some act or series of acts of public entertainment, often live)	Compramos entradas para dos espectáculos nocturnos.	We bought tickets for two evening shows.
postal	adj	postal	El servicio postal funciona más lentamente los lunes.	The postal service operates more slowly on Mondays.
postal	noun	postcard	Compré una postal en el museo.	I bought a postcard at the museum.
estrecho	adj	narrow	Esta silla tiene un asiento estrecho y duro.	This chair has a narrow, hard seat.
estrecho	noun	strait	Muchos barcos cruzan el estrecho durante la noche tranquila.	Many ships cross the strait during the quiet night.
atrapado	adj	caught, captured, trapped, stuck	Quedaron atrapados entre dos decisiones difíciles.	They were trapped between two difficult decisions.
tolerar	verb	to tolerate	En esta casa toleramos opiniones diferentes.	In this house we tolerate different opinions.
profesional	adj	professional	Necesitamos herramientas profesionales para reparar bien.	We need professional tools to repair properly.
profesional	noun	professional	Contrataremos profesionales locales para el proyecto.	We will hire local professionals for the project.
baile	noun	dance (the art, profession, and study of dancing)	Practica el baile clásico cada tarde.	They practice classical dance every afternoon.
especialmente	adv	specially	Me gusta especialmente el chocolate caliente.	I especially like hot chocolate.
enero	noun	January	Mi cumpleaños es en enero.	My birthday is in January.
cultivar	noun	cultivar	El color del cultivar influye en las ventas.	The cultivar's color influences sales.
activo	adj	active	Los niños están muy activos hoy.	The children are very active today.
activo	noun	asset (any property or material right of an enterprise or individual)	El activo principal de la empresa es su marca.	The company's main asset is its brand.
desastre	noun	disaster, catastrophe, calamity	Nadie esperaba semejante desastre natural.	No one expected such a natural disaster.
salvaje	adj	wild, savage (untamed, not domesticated)	Vimos perros salvajes en la montaña.	We saw wild dogs on the mountain.
salvaje	noun	savage	En la novela, lo llaman un salvaje.	In the novel, they call him a savage.
preocupación	noun	preoccupation	La preocupación por el clima aumenta.	Concern about the climate is increasing.
anciana	noun	female equivalent of anciano	La anciana camina despacio cada mañana.	The elderly woman walks slowly every morning.
habitual	adj	habitual	Su comportamiento habitual preocupa a todos.	Their usual behavior worries everyone.
puerto	noun	port, harbour	El barco llegó al puerto esta mañana.	The ship arrived at the port this morning.
quinto	adj	fifth	Encontré la respuesta en la quinta página.	I found the answer on the fifth page.
quinto	noun	fifth, ¹⁄₅	Dos quintos del grupo llegaron tarde.	Two fifths of the group arrived late.
adolescente	adj	adolescent	El chico adolescente estudia cada tarde.	The teenage boy studies every afternoon.
adolescente	noun	adolescent, teenager	Muchos adolescentes necesitan apoyo familiar.	Many teenagers need family support.
líquido	adj	liquid	La pintura líquida se seca muy rápido.	Liquid paint dries very quickly.
